date,close_usd,low_usd,high_usd,rsi_14_recomputed,close_change_pct,spy_close_change_pct
2026-05-06,181.57000732421875,175.30999755859375,195.80999755859375,64.3,0.0,0.0
2026-05-07,182.39999389648438,178.0,187.2100067138672,64.6,0.4571,-0.3066
2026-05-08,186.94000244140625,184.97999572753906,198.25,66.7,2.9575,0.5165
2026-05-11,207.38999938964844,191.66000366210938,208.9199981689453,74.1,14.2204,0.7454
2026-05-12,198.24000549316406,188.2899932861328,205.32000732421875,67.0,9.181,0.5928
2026-05-13,206.50999450683594,196.0800018310547,211.7899932861328,69.8,13.7357,1.1556
2026-05-14,208.27999877929688,200.35000610351562,210.5,70.4,14.7106,1.9541
2026-05-15,191.80999755859375,191.80999755859375,200.7899932861328,58.9,5.6397,0.7277
2026-05-18,178.5500030517578,174.2100067138672,193.66000366210938,51.6,-1.6633,0.6568
2026-05-19,175.8300018310547,169.8000030517578,180.5,50.2,-3.1613,-0.0136
2026-05-20,180.69000244140625,178.22999572753906,184.22999572753906,52.6,-0.4847,1.0111
2026-05-21,191.88999938964844,179.5,193.75,57.8,5.6838,1.2114
2026-05-22,194.0500030517578,189.33999633789062,194.97999572753906,58.7,6.8734,1.6094
2026-05-26,196.1699981689453,191.1999969482422,199.92999267578125,59.6,8.041,2.2839
2026-05-27,190.88999938964844,185.3000030517578,196.60000610351562,56.2,5.133,2.2662
2026-05-28,182.97000122070312,182.33999633789062,195.22999572753906,51.4,0.771,2.8304
2026-05-29,181.16000366210938,174.5,184.0800018310547,50.4,-0.2258,3.0865
2026-06-01,176.6999969482422,172.42999267578125,178.83999633789062,47.8,-2.6822,3.3673
2026-06-02,200.39999389648438,186.0,201.5500030517578,59.7,10.3706,3.5076
2026-06-03,200.75999450683594,195.6999969482422,208.57000732421875,59.8,10.5689,2.7813
2026-06-04,197.6999969482422,183.8000030517578,199.8000030517578,57.9,8.8836,3.1697
2026-06-05,177.5800018310547,174.3000030517578,190.11000061035156,46.9,-2.1975,0.5069
2026-06-08,187.5399932861328,185.0,192.89999389648438,51.8,3.288,0.7345
2026-06-09,173.94000244140625,166.0,190.41000366210938,45.7,-4.2022,0.4388
2026-06-10,168.1699981689453,166.67999267578125,178.47999572753906,43.3,-7.3801,-1.1447
2026-06-11,176.5500030517578,168.24000549316406,177.30999755859375,47.5,-2.7648,0.5355
2026-06-12,179.1999969482422,173.41000366210938,180.77000427246094,48.8,-1.3053,1.0793
2026-06-15,187.8800048828125,185.22999572753906,190.0,52.9,3.4752,2.8617
2026-06-16,177.4199981689453,176.1999969482422,187.9499969482422,47.9,-2.2856,2.2485
2026-06-17,175.39999389648438,172.75,180.82000732421875,47.0,-3.3981,0.9716
2026-06-18,194.9199981689453,181.1999969482422,196.02000427246094,55.8,7.3525,1.7593
2026-06-22,209.8300018310547,196.0,212.38999938964844,61.2,15.5642,1.439
2026-06-23,194.07000732421875,186.60000610351562,194.80999755859375,53.8,6.8844,-0.0341
2026-06-24,205.8300018310547,190.92999267578125,217.08999633789062,57.9,13.3612,-0.0804
2026-06-25,228.00999450683594,213.02000427246094,230.5,64.3,25.5769,0.064
2026-06-26,221.0500030517578,207.72999572753906,226.0,61.1,21.7437,-0.6596
2026-06-29,255.69000244140625,215.1300048828125,258.79998779296875,69.2,40.8217,0.9771
2026-06-30,255.42999267578125,250.5,271.7799987792969,69.1,40.6785,1.7634
2026-07-01,220.6300048828125,218.11000061035156,240.8699951171875,55.6,21.5124,1.6257
